Store_ID,Suburb,Street,Postcode,Lat,Lon,Type
502003,Burnside VIC,5 - 25 Westwood Drive,3023,-37.760043,144.755218,Store
502011,Maribyrnong VIC,11 Edgewater Boulevard,3032,-37.78449,144.89247,Store
502005,Melton VIC,394 - 406 High Street,3337,-37.68345,144.57917,Store
502056,Mill Park VIC,400 McDonalds Rd,3082,-37.65076,145.06844,Store
502048,Newcomb VIC,Newcomb S/C  Bellarine Hwy,3219,-38.16987,144.39262,Store
502008,Preston VIC,Cnr Cramer & High St,3072,-37.74024,145.00222,Store
502004,Sunbury VIC,112 - 126 Gap Road,3429,-37.57778,144.70444,Store
502012,West Footscray VIC,67 Ashley Street,3012,-37.79278,144.86306,Store
502017,Werribee VIC,77 - 83 Synott Street,3030,-37.90445,144.65778,Store
502031,Shepparton VIC,428 Wyndham Street,3630,-36.38345,145.39847,Store
502016,Airport West VIC,29 - 35 Louis Street,3042,-37.71389,144.88472,Store
502015,Warrnambool VIC,251 - 257 Lava Street,3280,-38.37901,142.47857,Store
502041,Colac VIC,62 - 70 Hesse Street,3250,-38.34189,143.58986,Store
502047,Corio VIC,465 Princes Highway,3214,-38.06512,144.38039,Store
502014,Bacchus Marsh VIC,"Shop 50, 158 - 196 Main St",3340,-37.67555,144.43917,Store
502026,Wodonga VIC,72 Elgin Boulevard,3690,-36.12,146.88167,Store
502023,Keilor Downs VIC,80 Taylors Road,3038,-37.72917,144.80639,Store
502024,Kangaroo Flat VIC,Cnr High St & Lockwood Rd,3555,-36.80944,144.24222,Store
502043,Northcote VIC,"Northcote Cntrl SC, High St",3070,-37.76871,144.99925,Store
502029,Tarneit VIC,380 Sayers Road,3029,-37.84475,144.65124,Store
502035,Ballarat VIC,102 -114 Creswick Road,3350,-37.55649,143.8546,Store
502057,Point Cook VIC,4 Main Street,3030,-37.88194,144.73561,Store
502044,Hamilton VIC,104-108 French Street,3300,-37.74434,142.02776,Store
502062,Brunswick  VIC,292 - 298 Sydney Road,3056,-37.77073,144.96171,Store
502055,Ararat  VIC,41-47 Moore Street,3377,-37.28524,142.93386,Store
502051,Horsham VIC,67 - 73 Hamilton Street,3400,-36.7182,142.19807,Store
502053,Sebastopol  VIC,31-35 Albert Street,3356,-37.58491,143.84122,Store
502046,Swan Hill  VIC,Campbell & Rutherford Sts,3585,-35.34265,143.56102,Store
502058,Epping  VIC,347-371 Dalton Road,3076,-37.65926,145.02974,Store
502068,Sunshine  VIC,324 - 328 Hampshire Road,3020,-37.78291,144.83172,Store
502059,Benalla  VIC,141-153 Bridge Street,3672,-36.54987,145.989156,Store
502065,Wangaratta  VIC,13 - 15 Chisholm Street,3677,-36.35665,146.32803,Store
502067,Alfredton  VIC,1611-1615 Sturt Street,3350,-37.55557,143.81747,Store
502073,Strathdale  VIC,90 - 92 Edwards Road,3550,-36.77208,144.30573,Store
