licencenumber,licencecode,licencetype,licenseeorg,liccount,lictotal,licensees,tradingnames,address,suburb,state,postcode,dateexpiry,dateissued
14005656,OFF,Liquor - Off,Individual,1,1,Paul Andrew STARR,Sassafras Wines,Unit 18 17 Yallourn Street,FYSHWICK,ACT,2609,2023-11-30T00:00:00.000,2015-03-23T00:00:00.000
14005518,OFF,Liquor - Off,Company,1,1,WINC AUSTRALIA PTY  LIMITED,Winc Australia,90-94 Sheppard Street,HUME,ACT,2620,2023-11-30T00:00:00.000,2004-09-10T00:00:00.000
14005087,OFF,Liquor - Off,Partnership,1,1,Sarbjit SINGH & Kamaljeet KAUR,Sunshine Supermarket,Unit 2 48 Mannheim Street,KAMBAH,ACT,2902,2023-02-28T00:00:00.000,
14005543,OFF,Liquor - Off,Company,1,1,ALDI FOODS PTY LIMITED,Aldi Kippax,Kippax Centre 50-60 Hardwick Crescent,HOLT,ACT,2615,2022-11-30T00:00:00.000,2006-12-01T00:00:00.000
14005682,OFF,Liquor - Off,Company,1,1,TYCON SERVICES AND TRADING CANBERRA PTY LTD,Akuna Mini Mart,Unit 136 2 Akuna Street,CITY,ACT,2601,2023-02-28T00:00:00.000,2016-12-21T00:00:00.000
14005583,OFF,Liquor - Off,Company,1,1,ALDI FOODS PTY LIMITED,Aldi Foods Pty Limited,"Shop T7 First Floor, Cooleman Court Shopping Centre 26 Brierly Street",WESTON,ACT,2611,2022-11-30T00:00:00.000,2009-01-28T00:00:00.000
14005529,OFF,Liquor - Off,Partnership,1,1,Anthony PYKE & Rosemary PYKE,Red Hill Butcher Shop,Shop 6 16 Duyfken Place,RED HILL,ACT,2603,2024-02-28T00:00:00.000,
14005638,OFF,Liquor - Off,Company,1,1,SUPABARN SUPERMARKETS PTY LTD,Crace Supabarn,"Tenancy 1, Crace Central 56 Abena Avenue",CRACE,ACT,2911,2023-02-28T00:00:00.000,2013-11-19T00:00:00.000
14005175,OFF,Liquor - Off,Company,1,1,T & H GROUP PTY LTD,Foodworks Holder ACT,Block 3 40 Holder Place,HOLDER,ACT,2611,2023-02-28T00:00:00.000,2020-12-17T00:00:00.000
14001000,OFF,Liquor - Off,Company,1,1,VINIDIUM PTY LTD,Hughes Friendly Grocer,16 Hughes Place,HUGHES,ACT,2605,2023-02-28T00:00:00.000,1975-11-01T00:00:00.000
14005539,OFF,Liquor - Off,Company,1,1,PSM100 RETAILS PTY LTD,Psm100 Retails Pty Ltd,Unit 1 Corner McBryde Crescent & Denigan Street,WANNIASSA,ACT,2903,2023-11-30T00:00:00.000,2022-09-15T00:00:00.000
14005752,OFF,Liquor - Off,Company,1,1,UNITY LIQUOR MERCHANTS PTY LTD,Unity Liquor Merchants Pty Ltd,10 Periscope Place,DUNLOP,ACT,2615,2023-02-28T00:00:00.000,2022-02-14T00:00:00.000
14005736,OFF,Liquor - Off,Company,1,1,SUPABARN SUPERMARKETS PTY LTD,Kingston Supabarn,34 Eyre Street,KINGSTON,ACT,2604,2023-02-28T00:00:00.000,2020-10-12T00:00:00.000
14005624,OFF,Liquor - Off,Company,1,1,ALDI FOODS PTY LIMITED,Aldi Foods Pty Limited,36 Benham Street,CHISHOLM,ACT,2905,2022-11-30T00:00:00.000,2012-10-11T00:00:00.000
14005761,OFF,Liquor - Off,Company,1,1,NAVARO PTY LTD,Weston Bottle Shop & Tobacconist,"Shop 6, 11 Brierly Street",WESTON,ACT,2611,2023-02-28T00:00:00.000,2022-09-15T00:00:00.000
14005685,OFF,Liquor - Off,Company,1,1,UNDERGROUND SPIRITS PTY LTD,Underground Spirits,Unit 2 66 Primmer Court,KAMBAH,ACT,2902,2023-11-30T00:00:00.000,2017-02-17T00:00:00.000
14005407,OFF,Liquor - Off,Partnership,1,1,Soteris Zacharia PHOKOS & Dimitry SPASOV,Deville Supermarket,3/96 Pocket Avenue,BANKS,ACT,2906,2023-02-28T00:00:00.000,
14005723,OFF,Liquor - Off,Company,1,1,ADIDEV PTY LTD,Auzi Liquor,"ESQUE Unit 85, 2 Manning Clark Crescent",FRANKLIN,ACT,2913,2023-02-28T00:00:00.000,2022-03-28T00:00:00.000
14005707,OFF,Liquor - Off,Company,1,1,CAINSCO KINGSTON PTY LTD,Prohibition The Bottle Shop,Unit 148 Element Building 39-45 Eastlake Parade,KINGSTON,ACT,2604,2023-02-28T00:00:00.000,2018-10-19T00:00:00.000
14005525,OFF,Liquor - Off,Company,1,1,BAYDEN PTY LTD,Corks Liquor,Unit 2 18 Norman Lindsay Street,CONDER,ACT,2906,2023-02-28T00:00:00.000,2005-06-01T00:00:00.000
14005741,OFF,Liquor - Off,Company,1,1,AWPL TANGO PTY LTD,Awpl Tango Pty Ltd,"Tenancies 206 & 208, Level 2 Airport Terminal Canberra Airport",PIALLIGO,ACT,2609,2023-11-30T00:00:00.000,2022-05-25T00:00:00.000
14001254,OFF,Liquor - Off,Company,1,1,SHIVALIK TRADING PTY LTD,Waramanga Post office and Newsagency,"Shop 2, Waramanga Newsagency & LPO Waramanga Place, Damala Street",WARAMANGA,ACT,2611,2023-02-28T00:00:00.000,2020-08-05T00:00:00.000
14000112,OFF,Liquor - Off,Company,1,1,DUFFY RETAIL PTY LTD,Duffy Retail Pty Ltd,"Shop 6, Duffy Shops 2 Glenmaggie Street",DUFFY,ACT,2611,2023-02-28T00:00:00.000,2004-03-02T00:00:00.000
14005616,OFF,Liquor - Off,Company,1,1,T & H GROUP PTY LTD,Foodworks Forde ACT,"Unit 5, Forde Shops 26 Francis Forde Boulevard",FORDE,ACT,2914,2023-02-28T00:00:00.000,
14000622,OFF,Liquor - Off,Company,1,1,SIMNATHES PTY LTD,IGA Holt,"Shop 1, Holt Shopping Centre 20 Holt Place",HOLT,ACT,2615,2023-02-28T00:00:00.000,
14005561,OFF,Liquor - Off,Company,1,1,KAYBOR PTY LIMITED,Oak Barrel Wines,Basement Level 10-12 Colbee Court,PHILLIP,ACT,2606,2023-02-28T00:00:00.000,
14001490,OFF,Liquor - Off,Company,1,1,LIQUID GRAPE PTY LTD,Liquid Grape Kippax,Shop 4 Kippax Shopping Centre Hardwick Crescent,HOLT,ACT,2615,2023-11-30T00:00:00.000,2017-09-18T00:00:00.000
14005551,OFF,Liquor - Off,Company,1,1,ALDI FOODS PTY LIMITED,Aldi Foods Pty Limited,Jamison Shopping Centre 26 Bowman Street,MACQUARIE,ACT,2614,2022-11-30T00:00:00.000,2007-04-18T00:00:00.000
14005664,OFF,Liquor - Off,Individual,1,1,Timothy John REARDON,The Canberra Distillery,21 Pieman crescent,KALEEN,ACT,2617,2023-11-30T00:00:00.000,2015-12-14T00:00:00.000
14005670,OFF,Liquor - Off,Company,1,1,SUPABARN SUPERMARKETS PTY LTD,Casey Supabarn,15 Kingsland Parade,CASEY,ACT,2913,2023-02-28T00:00:00.000,2016-05-03T00:00:00.000
14004842,OFF,Liquor - Off,Company,1,1,DELE PTY LTD,Jervis Bay Supermarket,95 Village Road,JERVIS BAY,ACT,2540,2023-02-28T00:00:00.000,
14005713,OFF,Liquor - Off,Company,1,1,KIERIKY PTY LIMITED,Tuggeranong Cellars,Shop G-030A Southpoint Shopping Centre 210 Anketell Street,GREENWAY,ACT,2900,2023-02-28T00:00:00.000,2019-03-22T00:00:00.000
14005557,OFF,Liquor - Off,Company,1,1,KIERIKY PTY LIMITED,Jiparu Cellars,Unit 5 96 Wollongong Street,FYSHWICK,ACT,2609,2023-02-28T00:00:00.000,2017-11-09T00:00:00.000
14004666,OFF,Liquor - Off,Company,1,1,KIERIKY PTY LIMITED,Erindale Wines & Spirits,Shop 1(A) 38 Gartside Street,WANNIASSA,ACT,2903,2023-02-28T00:00:00.000,2015-07-07T00:00:00.000
14005622,OFF,Liquor - Off,Company,1,1,DAVID JONES PTY LIMITED,David Jones,"David Jones Westfield Woden, Bradley Street",PHILLIP,ACT,2606,2023-11-30T00:00:00.000,2012-07-26T00:00:00.000
14000278,OFF,Liquor - Off,Company,1,1,GMD (ACT) PTY LTD,Cook Supermarket,1 Cook Place Cook Shopping Centre,COOK,ACT,2614,2023-02-28T00:00:00.000,2016-11-09T00:00:00.000
14005642,OFF,Liquor - Off,Individual,1,1,Pierre Louis POULIQUIN,ICA Drinks,Unit DC3-6-A1 Storage King 86 Nettlefold Street,BELCONNEN,ACT,2617,2023-02-28T00:00:00.000,2014-03-17T00:00:00.000
14005678,OFF,Liquor - Off,Company,1,1,NICH SELECTING PTY LTD,Dickson Liquor Store,Unit 2A 30-36 Woolley Street,DICKSON,ACT,2602,2023-02-28T00:00:00.000,2020-02-10T00:00:00.000
14005512,OFF,Liquor - Off,Company,1,1,ARNICHOLLS PTY LTD,Nicholls IGA,"Shop 1, Nicholls Shopping Centre 88 Kelleway Ave",NICHOLLS,ACT,2913,2023-02-28T00:00:00.000,2021-05-10T00:00:00.000
14005754,OFF,Liquor - Off,Company,1,1,PLONK PTY LTD,Plonk,Tenancy G Belconnen Markets 10 Lathlain St 10 Lathlain Steet,BELCONNEN,ACT,2617,2023-02-28T00:00:00.000,2022-02-21T00:00:00.000
14005692,OFF,Liquor - Off,Company,1,1,THE GIN BOUTIQUE PTY LTD,The Gin Boutique,14 Eric Mawson Street,HARRISON,ACT,2914,2023-02-28T00:00:00.000,
14005689,OFF,Liquor - Off,Company,1,1,E MART PTY LTD,E MART PTY LTD,15/45 West Row,CITY,ACT,2601,2023-02-28T00:00:00.000,2017-07-10T00:00:00.000
14005742,OFF,Liquor - Off,Company,1,1,GLOW GROUP PTY LTD,Bottlemart,51/11 Thynne Street,BRUCE,ACT,2617,2023-02-28T00:00:00.000,2021-04-28T00:00:00.000
14005744,OFF,Liquor - Off,Company,1,1,K & V OLMOS PTY LTD,K & V Olmos Pty Ltd,Shop 1 Citywest Carpark 113 Marcus Clarke Street,CANBERRA,ACT,2600,2023-11-30T00:00:00.000,2021-08-04T00:00:00.000
14005576,OFF,Liquor - Off,Company,1,1,PLONK PTY LTD,Plonk Pty Ltd,"G17, Fyshwick Markets Corner Mildura Street & Dalby Street",FYSHWICK,ACT,2609,2023-02-28T00:00:00.000,2008-07-03T00:00:00.000
14005640,OFF,Liquor - Off,Company,1,1,DNA LIQUOR PTY LTD,The Bottler at Chisholm,64 Halley Street Chisholm Shopping Centre,CHISHOLM,ACT,2905,2023-02-28T00:00:00.000,2013-12-17T00:00:00.000
